Instance	AvgContrib	UrgentCoverage	ElectiveCoverage	AvgCoverage	DiscardProportion	Utility

PolicyMYOPIC_SURGE_0.5_PEN_-4.0_ALPHA_0.00	21447.15	0.91	0.69	0.81	0.00	978.12
PolicyMYOPIC_SURGE_0.5_PEN_-9.0_ALPHA_0.00	20447.25	0.92	0.64	0.79	0.00	981.20
PolicyMYOPIC_SURGE_0.5_PEN_-14.0_ALPHA_0.00	23924.20	0.97	0.25	0.61	0.03	981.18
PolicyMYOPIC_SURGE_0.5_PEN_-14.0_ALPHA_0.00	23924.20	0.97	0.25	0.61	0.03	981.18
PolicyMYOPIC_SURGE_0.5_PEN_-14.0_ALPHA_0.00	23924.20	0.97	0.25	0.61	0.03	981.18
PolicyMYOPIC_SURGE_0.5_PEN_-14.0_ALPHA_0.00	23924.20	0.97	0.25	0.61	0.03	981.18
PolicyMYOPIC_SURGE_0.5_PEN_-14.0_ALPHA_0.00	23924.20	0.97	0.25	0.61	0.03	985.89
PolicyMYOPIC_SURGE_0.5_PEN_-14.0_ALPHA_0.00	23924.20	0.97	0.25	0.61	0.03	986.00
PolicyMYOPIC_SURGE_0.5_PEN_-9.0_ALPHA_0.00	20447.25	0.92	0.64	0.79	0.00	984.00
